Date,Temperature (F),Humidity,Wind Speed (mph),Precipitation (inches),Pressure (mb)
2000-01-01,37.7,73.2,13.9,0.0,1025.4
2000-01-02,39.2,73.6,15.0,0.0,1026.9
2000-01-03,40.9,74.1,10.9,0.001,1030.1
2000-01-04,43.9,70.3,14.9,0.0,1024.9
2000-01-05,45.7,75.9,13.3,0.001,1022.0
2000-01-06,46.0,77.7,9.1,0.0,1023.8
2000-01-07,43.2,83.5,8.0,0.002,1023.7
2000-01-08,44.3,79.7,6.9,0.0,1024.1
2000-01-09,42.8,83.8,6.6,0.0,1023.4
2000-01-10,43.1,82.5,6.2,0.002,1027.2
2000-01-11,43.2,79.5,5.9,0.001,1031.8
2000-01-12,42.1,74.4,10.6,0.002,1029.3
2000-01-13,38.5,78.0,7.4,0.0,1023.3
2000-01-14,38.7,80.9,9.2,0.104,1018.3
2000-01-15,46.1,83.7,7.6,0.154,1022.1
2000-01-16,44.8,79.1,10.3,0.001,1022.9
2000-01-17,45.0,73.1,13.9,0.002,1021.4
2000-01-18,46.7,64.9,12.8,0.0,1010.2
2000-01-19,44.1,71.0,10.7,0.003,1015.9
2000-01-20,42.6,70.1,10.9,0.001,1025.1
2000-01-21,42.1,61.6,10.5,0.0,1017.7
2000-01-22,42.5,65.6,20.3,0.0,1011.1
2000-01-23,45.1,43.6,17.3,0.0,1005.4
2000-01-24,42.3,53.4,11.1,0.0,1011.3
2000-01-25,41.3,57.7,23.8,0.01,1021.4
2000-01-26,38.2,62.2,10.3,0.0,1030.1
2000-01-27,39.2,69.9,11.8,0.011,1031.5
2000-01-28,44.4,68.4,14.3,0.003,1023.3
2000-01-29,45.9,66.2,16.5,0.0,1018.7
2000-01-30,50.6,68.6,16.0,0.004,1018.8
2000-01-31,48.5,81.9,7.1,0.0,1025.8
2000-02-01,49.6,83.9,8.5,0.001,1027.8
2000-02-02,51.2,82.0,9.9,0.031,1021.1
2000-02-03,51.7,71.3,11.4,0.006,1023.1
2000-02-04,47.8,64.8,10.7,0.0,1033.8
2000-02-05,44.4,74.6,6.2,0.0,1034.3
2000-02-06,47.5,79.9,8.2,0.001,1031.0
2000-02-07,51.5,71.1,16.8,0.0,1024.2
2000-02-08,52.5,71.4,16.5,0.0,1020.1
2000-02-09,53.9,48.9,25.3,0.003,1018.3
2000-02-10,47.8,47.9,8.5,0.0,1024.5
2000-02-11,46.6,64.1,12.6,0.0,1022.3
2000-02-12,47.7,63.8,15.6,0.0,1023.2
2000-02-13,46.7,63.9,14.2,0.0,1022.1
2000-02-14,47.5,71.5,9.1,0.0,1020.2
2000-02-15,51.0,66.9,13.5,0.0,1018.3
2000-02-16,51.6,56.7,23.2,0.01,1010.5
2000-02-17,48.6,29.5,23.2,0.0,1007.9
2000-02-18,47.6,45.9,18.5,0.005,1014.4
2000-02-19,53.8,53.3,27.4,0.007,1008.7
2000-02-20,49.5,42.4,19.3,0.0,1013.4
2000-02-21,44.1,56.2,13.9,0.0,1022.4
2000-02-22,44.0,69.7,8.9,0.0,1022.9
2000-02-23,44.5,69.6,6.9,0.0,1023.9
2000-02-24,44.1,73.4,10.8,0.0,1028.7
2000-02-25,47.0,75.3,9.3,0.002,1028.3
2000-02-26,50.1,78.2,11.6,0.0,1028.8
2000-02-27,52.8,81.6,9.2,0.014,1030.2
2000-02-28,49.1,78.2,13.1,0.001,1030.7
2000-02-29,47.5,82.9,7.7,0.101,1026.4
2000-03-01,52.8,74.2,21.3,0.168,1010.5
2000-03-02,53.6,28.7,19.7,0.007,1014.3
2000-03-03,48.9,46.2,16.3,0.0,1019.9
2000-03-04,52.3,56.7,19.8,0.002,1013.6
2000-03-05,49.2,46.3,12.0,0.0,1024.1
2000-03-06,47.0,62.6,13.8,0.0,1031.7
2000-03-07,51.7,69.5,14.1,0.0,1029.2
2000-03-08,50.6,78.7,8.8,0.0,1028.5
2000-03-09,51.9,78.6,8.5,0.001,1026.1
2000-03-10,54.4,75.9,10.0,0.0,1021.0
2000-03-11,54.4,77.6,10.1,0.006,1020.5
2000-03-12,53.1,78.7,8.6,0.015,1019.5
2000-03-13,51.9,75.1,10.1,0.0,1022.6
2000-03-14,51.8,78.5,7.6,0.004,1022.7
2000-03-15,54.0,71.5,13.5,0.005,1015.7
2000-03-16,55.1,52.9,14.6,0.0,1019.7
2000-03-17,53.6,64.0,11.4,0.0,1016.5
2000-03-18,52.8,68.6,10.7,0.0,1014.7
2000-03-19,52.6,72.9,18.1,0.008,1019.9
2000-03-20,49.1,69.9,26.2,0.123,1020.8
2000-03-21,47.4,66.6,10.4,0.0,1021.5
2000-03-22,47.8,67.3,9.2,0.002,1021.8
2000-03-23,48.8,73.6,14.4,0.0,1019.2
2000-03-24,53.3,84.8,9.7,0.1,1016.5
2000-03-25,53.6,80.9,8.7,0.012,1017.2
2000-03-26,54.2,67.3,18.6,0.023,1012.3
2000-03-27,53.4,50.0,21.0,0.001,1004.4
2000-03-28,46.5,71.6,11.7,0.184,1006.3
2000-03-29,47.8,70.5,17.8,0.397,1006.9
2000-03-30,52.0,49.3,20.2,0.0,1012.6
2000-03-31,48.9,65.1,11.1,0.212,1010.2
2000-04-01,50.4,68.7,16.6,0.148,1005.5
2000-04-02,51.5,66.4,27.4,0.003,1006.4
2000-04-03,55.0,73.1,24.4,0.22,998.3
2000-04-04,52.4,87.3,14.0,0.749,998.4
2000-04-05,55.6,68.7,21.6,0.035,1001.2
2000-04-06,50.8,76.7,12.5,0.164,1012.0
2000-04-07,51.2,80.4,11.7,0.028,1021.5
2000-04-08,51.7,68.0,13.0,0.009,1021.5
2000-04-09,51.7,70.1,24.2,0.39,1011.0
2000-04-10,51.8,79.3,19.4,0.15,1006.2
2000-04-11,51.9,81.1,9.2,0.019,1001.7
2000-04-12,54.6,70.0,13.8,0.0,1000.5
2000-04-13,54.6,76.3,11.1,0.002,1005.6
2000-04-14,53.7,86.3,9.8,0.045,1007.2
2000-04-15,58.5,68.4,17.4,0.512,1004.6
2000-04-16,53.4,72.3,15.0,0.017,1006.0
2000-04-17,54.6,82.7,12.2,0.448,1003.8
2000-04-18,56.6,67.5,11.6,0.002,1006.7
2000-04-19,55.9,69.6,14.0,0.002,1007.3
2000-04-20,59.9,59.9,10.7,0.0,1011.8
2000-04-21,60.7,67.4,9.7,0.0,1016.1
2000-04-22,57.0,80.7,9.1,0.003,1017.9
2000-04-23,55.9,86.9,15.3,0.24,1013.9
2000-04-24,57.4,62.7,24.2,0.006,1009.9
2000-04-25,56.3,74.4,11.2,0.0,1013.9
2000-04-26,57.0,76.3,14.3,0.003,1015.0
2000-04-27,62.8,58.0,29.4,0.013,1009.9
2000-04-28,57.7,83.9,16.4,1.418,1009.0
2000-04-29,57.4,79.5,11.9,0.016,1014.5
2000-04-30,59.4,70.8,9.4,0.001,1018.1
2000-05-01,63.7,66.8,8.9,0.0,1014.4
2000-05-02,64.6,70.5,11.4,0.002,1013.4
2000-05-03,66.0,64.5,11.8,0.001,1016.3
2000-05-04,63.9,71.4,8.3,0.0,1016.9
2000-05-05,63.4,74.9,12.4,0.004,1014.6
2000-05-06,65.3,65.0,22.6,0.015,1012.9
2000-05-07,64.1,70.8,22.8,0.048,1015.2
2000-05-08,63.3,77.7,15.8,0.0,1018.0
2000-05-09,68.7,61.9,19.6,0.014,1016.3
2000-05-10,69.8,62.9,19.8,0.162,1014.8
2000-05-11,65.6,82.5,12.7,0.078,1017.5
2000-05-12,63.4,81.5,11.8,0.08,1018.7
2000-05-13,62.6,81.3,9.8,0.002,1019.1
2000-05-14,65.6,73.4,8.5,0.0,1020.0
2000-05-15,68.7,60.5,8.2,0.001,1020.3
2000-05-16,67.9,63.1,8.9,0.0,1019.1
2000-05-17,67.6,60.3,12.5,0.0,1016.1
2000-05-18,69.7,58.2,19.4,0.0,1010.0
2000-05-19,66.7,48.1,17.7,0.0,1007.4
2000-05-20,63.5,56.2,13.5,0.0,1007.9
2000-05-21,63.0,70.3,10.8,0.0,1011.7
2000-05-22,66.9,58.3,18.2,0.0,1011.5
2000-05-23,65.1,67.8,11.5,0.0,1017.1
2000-05-24,65.7,68.7,11.5,0.0,1017.2
2000-05-25,67.0,63.8,9.9,0.0,1016.0
2000-05-26,67.2,66.7,9.4,0.0,1016.2
2000-05-27,65.3,76.6,9.9,0.033,1014.6
2000-05-28,66.2,72.4,12.9,0.002,1013.9
2000-05-29,72.5,48.5,23.7,0.0,1010.7
2000-05-30,69.9,55.4,17.5,0.0,1014.9
2000-05-31,71.7,53.8,20.8,0.0,1014.2
2000-06-01,69.9,63.5,10.0,0.0,1020.8
2000-06-02,71.7,60.5,8.7,0.0,1021.7
2000-06-03,73.1,59.5,9.1,0.0,1019.3
2000-06-04,72.2,65.8,11.1,0.0,1018.6
2000-06-05,71.3,68.6,13.2,0.004,1016.7
2000-06-06,67.8,80.6,17.5,0.369,1013.1
2000-06-07,69.9,64.8,10.6,0.059,1014.0
2000-06-08,72.3,64.3,12.6,0.0,1017.3
2000-06-09,73.3,65.2,11.2,0.0,1017.1
2000-06-10,70.4,71.3,23.8,0.706,1013.3
2000-06-11,66.2,78.8,9.0,0.444,1013.7
2000-06-12,68.2,80.0,10.4,0.503,1018.3
2000-06-13,70.1,77.2,12.7,0.286,1022.6
2000-06-14,69.0,76.4,9.0,0.017,1022.5
2000-06-15,71.2,76.7,9.8,0.01,1019.2
2000-06-16,74.6,72.0,15.3,0.0,1016.6
2000-06-17,74.5,65.3,10.5,0.001,1019.7
2000-06-18,73.4,56.9,16.6,0.0,1026.0
2000-06-19,70.8,62.5,9.2,0.0,1023.8
2000-06-20,70.5,57.7,9.6,0.0,1020.7
2000-06-21,71.7,60.2,9.7,0.0,1019.5
2000-06-22,72.8,67.4,13.0,0.0,1019.3
2000-06-23,73.5,64.1,12.2,0.017,1016.2
2000-06-24,72.8,49.4,18.8,0.0,1012.1
2000-06-25,72.1,47.0,18.7,0.0,1010.7
2000-06-26,70.8,55.9,9.7,0.0,1015.0
2000-06-27,70.7,66.1,10.5,0.0,1016.7
2000-06-28,73.5,67.0,19.5,0.0,1012.8
2000-06-29,75.3,60.5,12.5,0.0,1012.7
2000-06-30,73.5,60.4,12.8,0.0,1013.2
2000-07-01,73.0,70.9,9.7,0.002,1014.6
2000-07-02,75.1,70.5,18.4,0.0,1015.1
2000-07-03,77.0,72.2,16.0,0.0,1011.0
2000-07-04,78.5,63.7,19.1,0.0,1008.4
2000-07-05,77.1,43.6,20.1,0.0,1012.6
2000-07-06,74.5,64.5,10.5,0.0,1017.1
2000-07-07,74.9,71.6,14.0,0.0,1012.0
2000-07-08,76.3,46.8,23.3,0.0,1005.5
2000-07-09,73.2,39.8,16.6,0.0,1009.3
2000-07-10,69.2,70.0,15.1,0.798,1004.6
2000-07-11,67.6,56.2,26.7,0.057,1001.1
2000-07-12,66.1,50.1,18.0,0.01,1009.6
2000-07-13,66.9,52.4,12.3,0.0,1013.9
2000-07-14,67.8,60.2,21.8,0.0,1008.9
2000-07-15,69.8,51.2,23.9,0.0,1003.6
2000-07-16,67.2,50.1,12.7,0.0,1010.1
2000-07-17,65.0,62.1,13.5,0.0,1015.4
2000-07-18,66.1,66.9,14.3,0.0,1016.3
2000-07-19,69.0,65.0,10.8,0.0,1014.2
2000-07-20,71.5,62.1,10.7,0.0,1014.3
2000-07-21,72.3,62.0,11.7,0.0,1016.5
2000-07-22,72.7,59.8,12.2,0.0,1016.5
2000-07-23,71.6,70.4,15.5,0.059,1015.7
2000-07-24,72.1,80.6,16.5,0.233,1009.7
2000-07-25,74.6,65.3,13.3,0.009,1009.2
2000-07-26,74.6,73.0,13.0,0.035,1011.1
2000-07-27,74.0,71.8,10.5,0.0,1014.8
2000-07-28,75.9,58.4,21.2,0.007,1011.8
2000-07-29,76.0,46.8,17.3,0.0,1013.2
2000-07-30,74.6,44.5,11.8,0.0,1016.3
2000-07-31,73.0,54.3,10.7,0.0,1020.7
2000-08-01,73.0,61.4,11.7,0.0,1022.2
2000-08-02,74.1,66.3,11.9,0.0,1020.9
2000-08-03,73.3,69.5,14.0,0.012,1017.8
2000-08-04,72.9,65.8,10.8,0.048,1015.1
2000-08-05,67.3,71.9,14.9,0.104,1014.9
2000-08-06,68.6,66.8,9.6,0.0,1016.2
2000-08-07,72.1,64.4,12.0,0.01,1017.3
2000-08-08,73.0,61.8,13.0,0.0,1018.2
2000-08-09,72.5,72.2,11.3,0.0,1018.6
2000-08-10,73.4,71.6,11.9,0.0,1018.1
2000-08-11,74.8,65.2,10.0,0.0,1015.3
2000-08-12,73.0,74.5,10.3,0.001,1014.2
2000-08-13,76.3,66.0,9.4,0.007,1016.3
2000-08-14,77.2,62.5,9.2,0.0,1018.9
2000-08-15,76.8,66.8,8.4,0.0,1018.8
2000-08-16,77.1,69.0,9.1,0.0,1016.4
2000-08-17,78.0,70.3,11.2,0.0,1015.6
2000-08-18,76.4,74.9,10.4,0.0,1015.9
2000-08-19,77.5,65.2,15.4,0.002,1016.7
2000-08-20,76.3,66.0,15.8,0.0,1016.5
2000-08-21,75.4,75.1,12.5,0.011,1014.7
2000-08-22,77.4,56.2,12.3,0.009,1013.6
2000-08-23,75.1,62.4,10.5,0.0,1016.7
2000-08-24,77.8,66.0,11.7,0.0,1019.0
2000-08-25,77.0,72.4,9.6,0.0,1016.0
2000-08-26,77.1,71.5,12.3,0.0,1012.1
2000-08-27,78.1,60.2,21.5,0.0,1010.9
2000-08-28,76.3,43.3,13.5,0.0,1015.1
2000-08-29,72.8,56.5,11.3,0.0,1017.6
2000-08-30,69.4,68.1,10.1,0.061,1015.7
2000-08-31,72.4,64.3,21.0,0.056,1008.8
2000-09-01,72.5,52.3,14.2,0.0,1007.7
2000-09-02,73.8,45.2,21.8,0.0,1007.5
2000-09-03,70.8,47.0,15.9,0.0,1008.8
2000-09-04,69.2,54.3,11.8,0.007,1010.8
2000-09-05,68.9,58.3,10.7,0.0,1017.2
2000-09-06,67.7,62.8,9.6,0.0,1016.7
2000-09-07,71.3,60.6,17.9,0.0,1009.8
2000-09-08,69.5,56.5,12.7,0.0,1017.3
2000-09-09,68.5,58.1,13.3,0.0,1021.9
2000-09-10,69.4,60.5,11.8,0.0,1019.9
2000-09-11,70.6,57.4,11.9,0.0,1015.3
2000-09-12,68.6,65.0,8.8,0.0,1014.6
2000-09-13,68.7,74.2,9.2,0.017,1014.6
2000-09-14,72.0,78.3,12.9,0.0,1016.0
2000-09-15,72.6,79.8,13.4,0.002,1016.4
2000-09-16,74.1,78.1,13.9,0.0,1013.4
2000-09-17,73.4,53.2,12.7,0.0,1007.6
2000-09-18,69.7,62.7,11.3,0.0,1007.9
2000-09-19,66.9,72.4,15.3,0.036,1007.4
2000-09-20,69.5,75.8,14.2,0.179,1004.4
2000-09-21,67.2,47.8,21.7,0.003,1010.5
2000-09-22,65.1,59.7,9.4,0.0,1018.0
2000-09-23,64.8,64.4,12.2,0.0,1019.5
2000-09-24,65.1,67.8,11.9,0.0,1019.8
2000-09-25,66.2,71.9,10.7,0.001,1021.5
2000-09-26,66.4,74.7,8.4,0.001,1022.2
2000-09-27,66.5,68.5,8.6,0.002,1020.4
2000-09-28,65.5,72.7,12.6,0.0,1015.9
2000-09-29,65.9,84.4,20.3,2.307,1006.3
2000-09-30,65.4,81.2,11.0,0.447,1003.9
2000-10-01,62.5,82.0,8.9,0.318,1006.3
2000-10-02,61.5,71.1,22.9,0.011,1007.8
2000-10-03,63.9,55.6,11.2,0.002,1012.6
2000-10-04,63.5,64.2,8.4,0.0,1015.9
2000-10-05,64.3,67.7,11.8,0.001,1014.6
2000-10-06,63.5,63.9,13.7,0.064,1012.6
2000-10-07,59.6,51.6,12.8,0.0,1013.9
2000-10-08,59.2,54.8,11.0,0.001,1014.4
2000-10-09,60.2,59.5,15.3,0.0,1010.9
2000-10-10,59.4,68.0,12.2,0.041,1003.6
2000-10-11,58.5,77.5,17.8,1.567,998.6
2000-10-12,59.3,92.7,10.0,0.385,1002.6
2000-10-13,64.3,85.2,16.0,0.071,1005.9
2000-10-14,65.1,88.3,18.2,1.093,1009.9
2000-10-15,62.2,86.7,25.2,1.282,1007.1
2000-10-16,56.8,90.9,10.2,0.873,1015.0
2000-10-17,57.9,79.1,8.3,0.032,1022.1
2000-10-18,56.8,81.1,7.7,0.004,1023.1
2000-10-19,56.1,83.3,5.6,0.002,1021.5
2000-10-20,59.6,82.5,11.7,0.0,1023.0
2000-10-21,62.8,72.6,20.7,0.0,1024.4
2000-10-22,61.8,71.0,14.8,0.005,1028.3
2000-10-23,59.4,80.9,10.2,0.001,1027.8
2000-10-24,59.1,83.4,7.3,0.004,1025.3
2000-10-25,59.9,84.5,9.8,0.002,1021.6
2000-10-26,59.3,81.2,9.9,0.0,1017.5
2000-10-27,59.8,78.1,11.0,0.0,1016.9
2000-10-28,59.3,82.1,8.0,0.001,1021.3
2000-10-29,60.6,83.5,9.6,0.0,1020.3
2000-10-30,59.4,87.4,9.2,0.498,1014.4
2000-10-31,59.0,85.0,14.1,0.94,1006.0
2000-11-01,55.2,61.8,13.2,0.001,1010.1
2000-11-02,50.6,86.2,10.7,0.369,1010.5
2000-11-03,56.8,83.7,12.2,0.503,1003.9
2000-11-04,52.8,60.5,19.9,0.0,1010.3
2000-11-05,51.6,69.9,11.3,0.027,1014.8
2000-11-06,55.1,89.6,20.7,3.428,993.6
2000-11-07,51.8,71.9,21.9,0.049,995.6
2000-11-08,48.0,76.6,9.4,0.075,1004.6
2000-11-09,49.0,72.8,12.0,0.006,1013.6
2000-11-10,48.6,68.6,10.9,0.004,1021.1
2000-11-11,48.2,73.5,10.7,0.0,1026.4
2000-11-12,53.2,70.7,11.3,0.003,1020.9
2000-11-13,59.1,83.3,15.5,0.152,1010.3
2000-11-14,56.0,88.0,11.7,1.68,1008.6
2000-11-15,47.2,85.1,9.2,0.19,1015.6
2000-11-16,51.1,91.7,9.8,0.816,1011.2
2000-11-17,52.7,77.8,18.6,0.992,1003.5
2000-11-18,49.9,68.7,16.0,0.163,1010.1
2000-11-19,47.7,73.3,10.6,0.023,1010.2
2000-11-20,49.0,88.6,10.7,0.11,1006.6
2000-11-21,48.1,76.3,15.3,0.0,1009.2
2000-11-22,49.9,79.3,8.0,0.073,1016.2
2000-11-23,55.0,92.5,17.3,2.099,1010.6
2000-11-24,49.7,78.8,14.0,0.704,1007.9
2000-11-25,48.5,68.6,12.2,0.002,1009.4
2000-11-26,51.5,66.1,25.4,0.004,1010.0
2000-11-27,52.1,56.6,14.1,0.003,1017.1
2000-11-28,48.6,76.5,8.0,0.0,1022.7
2000-11-29,52.6,82.0,9.5,0.0,1020.5
2000-11-30,54.9,75.4,9.3,0.024,1020.1
2000-12-01,55.9,81.7,11.0,0.009,1022.9
2000-12-02,54.3,92.9,12.0,1.585,1021.1
2000-12-03,52.7,90.4,9.1,0.186,1018.2
2000-12-04,50.3,88.7,5.6,0.011,1021.1
2000-12-05,48.6,87.7,6.9,0.002,1022.6
2000-12-06,52.4,90.0,8.9,0.116,1021.8
2000-12-07,54.6,85.0,10.9,0.155,1019.1
2000-12-08,56.6,79.6,11.9,0.015,1015.8
2000-12-09,54.2,88.3,8.0,0.015,1018.7
2000-12-10,51.6,73.6,12.8,0.005,1023.6
2000-12-11,50.1,78.5,8.4,0.002,1029.3
2000-12-12,49.3,86.9,6.1,0.003,1029.8
2000-12-13,49.5,82.9,10.5,0.005,1024.3
2000-12-14,49.6,77.1,10.9,0.003,1016.1
2000-12-15,51.9,57.5,20.0,0.0,1008.4
2000-12-16,47.1,45.1,18.0,0.0,1012.2
2000-12-17,44.9,60.6,14.0,0.0,1014.5
2000-12-18,46.1,68.0,8.0,0.0,1019.7
2000-12-19,44.7,79.8,5.8,0.004,1020.3
2000-12-20,48.2,78.0,12.2,0.0,1018.7
2000-12-21,51.4,69.7,19.8,0.015,1018.2
2000-12-22,49.6,64.4,18.8,0.0,1017.8
2000-12-23,44.1,64.0,17.9,0.001,1016.7
2000-12-24,47.2,78.6,13.3,1.68,1009.4
2000-12-25,48.8,92.1,16.7,3.161,998.0
2000-12-26,47.2,91.7,9.3,0.422,994.6
2000-12-27,47.7,86.5,8.4,0.001,990.6
2000-12-28,47.9,63.9,18.7,0.0,993.8
2000-12-29,46.5,55.5,19.1,0.002,996.9
2000-12-30,44.4,59.1,13.1,0.008,997.7
2000-12-31,43.4,48.6,11.3,0.014,1009.2
2001-01-01,40.1,69.4,7.2,0.002,1015.6
2001-01-02,51.7,90.9,13.6,0.122,1009.9
2001-01-03,49.3,69.4,14.1,0.003,1012.4
2001-01-04,44.6,86.1,14.4,0.814,1011.6
2001-01-05,45.9,84.8,10.6,0.031,1012.3
2001-01-06,53.4,94.5,10.9,0.197,1008.2
2001-01-07,51.3,92.6,8.1,0.034,1010.4
2001-01-08,46.0,75.0,16.4,0.003,1008.2
2001-01-09,45.7,59.6,15.8,0.0,1014.6
2001-01-10,48.6,85.2,9.0,0.191,1017.9
2001-01-11,50.9,88.3,9.3,0.025,1018.4
2001-01-12,53.0,86.3,12.5,0.186,1015.0
2001-01-13,52.6,81.6,10.3,0.085,1014.2
2001-01-14,47.3,73.3,8.4,0.002,1017.9
2001-01-15,43.4,59.2,14.1,0.0,1021.5
2001-01-16,39.8,66.7,12.1,0.009,1022.5
2001-01-17,40.6,82.5,11.1,0.283,1020.7
2001-01-18,40.0,84.8,8.4,0.064,1020.6
2001-01-19,46.5,74.7,13.9,0.151,1019.5
2001-01-20,44.4,75.9,8.3,0.0,1021.2
2001-01-21,43.6,76.1,10.7,0.002,1022.7
2001-01-22,43.7,81.2,9.2,0.001,1021.1
2001-01-23,51.2,82.5,10.0,0.024,1014.7
2001-01-24,51.6,91.0,11.4,0.187,1012.2
2001-01-25,51.8,90.4,8.1,0.149,1010.2
2001-01-26,48.9,66.3,14.0,0.016,1010.8
2001-01-27,48.8,74.6,14.6,0.267,1005.2
2001-01-28,44.9,73.6,21.9,0.284,1001.2
2001-01-29,47.8,78.3,11.5,0.643,1002.3
2001-01-30,47.1,53.0,13.0,0.0,1006.6
2001-01-31,44.0,56.2,10.7,0.0,1010.9
2001-02-01,41.6,62.1,13.8,0.03,1014.8
2001-02-02,38.3,57.4,10.8,0.0,1018.9
2001-02-03,46.5,61.8,18.7,0.0,1014.0
2001-02-04,51.3,75.4,13.1,0.0,1013.5
2001-02-05,52.0,71.4,18.0,0.002,1013.5
2001-02-06,49.6,81.7,9.2,0.01,1019.2
2001-02-07,55.8,79.5,17.7,0.025,1018.4
2001-02-08,54.7,81.4,18.0,0.044,1009.9
2001-02-09,50.2,61.7,18.4,0.029,1013.2
2001-02-10,49.3,53.4,12.5,0.003,1025.1
2001-02-11,47.7,61.4,7.1,0.0,1035.4
2001-02-12,49.0,63.4,11.4,0.002,1031.9
2001-02-13,50.6,73.5,13.3,0.0,1019.4
2001-02-14,51.2,68.5,19.3,0.0,1020.6
2001-02-15,48.0,63.9,8.2,0.0,1027.0
2001-02-16,47.2,70.8,7.5,0.0,1029.1
2001-02-17,47.9,77.4,16.2,0.014,1023.5
2001-02-18,52.4,62.3,19.1,0.338,1025.6
2001-02-19,47.6,69.1,8.7,0.0,1026.1
2001-02-20,48.1,66.8,10.4,0.002,1021.0
2001-02-21,48.0,68.3,11.7,0.002,1021.0
2001-02-22,48.9,69.1,11.8,0.0,1011.1
2001-02-23,51.6,63.2,21.1,0.0,1001.2
2001-02-24,49.6,50.6,20.8,0.0,997.5
2001-02-25,41.6,70.9,14.0,0.2,1002.3
2001-02-26,39.2,59.5,14.0,0.055,1005.4
2001-02-27,36.4,78.6,19.9,0.491,1003.0
2001-02-28,39.8,82.1,17.5,0.842,996.7
2001-03-01,42.1,67.3,17.5,0.022,1002.1
2001-03-02,41.7,88.6,9.0,0.602,1000.5
2001-03-03,50.9,91.2,9.1,0.213,995.8
2001-03-04,55.5,83.7,11.7,0.008,1002.2
2001-03-05,57.4,73.1,13.4,0.01,1008.6
2001-03-06,53.9,77.4,10.0,0.0,1018.4
2001-03-07,55.4,76.3,16.5,0.0,1016.8
2001-03-08,55.4,80.9,23.7,0.609,1007.8
2001-03-09,52.0,77.9,15.2,0.118,1009.6
2001-03-10,55.1,77.8,17.5,0.017,1012.7
2001-03-11,54.3,83.2,11.0,0.0,1016.3
2001-03-12,54.1,90.5,7.6,0.036,1013.9
2001-03-13,56.6,52.8,22.7,0.018,1008.1
2001-03-14,58.0,51.6,21.8,0.0,1010.9
2001-03-15,55.5,63.9,14.2,0.0,1014.3
2001-03-16,52.3,81.3,20.7,0.059,1013.9
2001-03-17,54.8,83.1,13.6,0.602,1004.5
2001-03-18,54.5,70.2,12.6,0.001,1007.7
2001-03-19,57.9,58.2,19.2,0.001,1010.4
2001-03-20,56.5,68.4,14.4,0.002,1012.1
2001-03-21,57.9,77.7,10.7,0.0,1007.9
2001-03-22,65.1,53.5,22.3,0.002,1006.7
2001-03-23,59.9,70.9,11.2,0.0,1010.2
2001-03-24,58.4,82.3,13.6,0.0,1006.9
2001-03-25,59.2,69.0,21.1,0.006,999.6
2001-03-26,58.4,57.8,19.7,0.0,1002.3
2001-03-27,56.7,62.1,14.9,0.0,1006.9
2001-03-28,52.8,80.6,8.2,0.307,1011.1
2001-03-29,50.8,82.5,14.6,0.068,1005.7
2001-03-30,53.8,53.5,19.9,0.0,1003.0
2001-03-31,56.6,50.2,11.0,0.0,1016.1
2001-04-01,55.1,62.4,9.8,0.0,1021.9
2001-04-02,54.5,64.0,9.8,0.0,1022.9
2001-04-03,53.1,72.5,13.2,0.002,1021.0
2001-04-04,55.1,79.5,14.0,0.003,1018.1
2001-04-05,58.3,46.8,24.2,0.003,1013.7
2001-04-06,58.6,54.8,14.5,0.0,1014.4
2001-04-07,56.7,68.2,23.8,0.143,1007.3
2001-04-08,56.4,51.2,22.3,0.0,1006.5
2001-04-09,57.8,46.8,18.1,0.0,1015.4
2001-04-10,57.6,56.9,22.0,0.0,1011.9
2001-04-11,56.4,55.8,21.7,0.001,1007.5
2001-04-12,58.2,50.7,12.1,0.0,1012.8
2001-04-13,56.2,58.5,10.5,0.0,1012.1
2001-04-14,52.1,51.3,19.5,0.009,1013.9
2001-04-15,52.3,51.6,16.2,0.0,1015.5
2001-04-16,55.1,57.7,17.5,0.0,1009.4
2001-04-17,54.3,53.1,12.5,0.0,1010.8
2001-04-18,51.9,59.5,11.3,0.0,1008.8
2001-04-19,54.9,51.9,24.3,0.0,1005.2
2001-04-20,54.2,39.9,23.6,0.0,1000.6
2001-04-21,49.6,39.3,24.3,0.003,998.3
2001-04-22,52.3,43.0,16.0,0.0,1000.3
2001-04-23,53.5,66.7,21.6,0.135,1003.1
2001-04-24,56.6,69.4,12.0,0.0,1013.2
2001-04-25,59.5,75.3,12.3,0.012,1015.8
2001-04-26,59.6,51.9,15.7,0.001,1017.0
2001-04-27,56.6,68.6,10.8,0.0,1017.5
2001-04-28,57.6,72.2,10.9,0.0,1015.5
2001-04-29,57.0,76.1,12.3,0.0,1014.0
2001-04-30,58.5,70.4,23.7,0.04,1010.8
2001-05-01,56.9,89.4,16.9,1.216,1016.0
2001-05-02,58.5,90.6,10.8,0.841,1014.3
2001-05-03,59.1,77.4,10.1,0.115,1009.0
2001-05-04,55.4,80.9,8.4,0.122,1005.6
2001-05-05,56.9,80.0,12.9,0.002,1004.9
2001-05-06,59.0,77.2,9.4,0.041,1006.0
2001-05-07,60.9,78.7,8.2,0.041,1011.7
2001-05-08,63.9,73.8,8.7,0.001,1015.8
2001-05-09,61.7,77.6,10.7,0.0,1017.3
2001-05-10,63.7,70.3,10.9,0.002,1013.6
2001-05-11,62.1,75.7,10.2,0.13,1013.5
2001-05-12,64.9,60.8,9.5,0.016,1013.8
2001-05-13,64.4,67.2,11.6,0.0,1013.5
